Source,Target,Weight,Type
Illinois,Iowa,3,Directed
Indiana, Iowa,3,Directed
Indiana, Penn State,3,Directed
Iowa,Iowa State,3,Directed
Iowa,Michigan State,3,Directed
Iowa,Penn State,3,Directed
Iowa State, Nebraska,3,Directed
Iowa State, Texas,3,Directed
Iowa State,Texas Tech,3,Directed
Kansas, Kansas State,3,Directed
Kansas,Missouri,3,Directed
Kansas,West Virginia,3,Directed
Kansas State,Baylor,3,Directed
Kansas State,Kansas,3,Directed
Kansas State,Texas A&M,3,Directed
Kansas State,West Virginia,3,Directed
Kent State,Central Michigan,3,Directed
Kentucky,Alabama,3,Directed
Kentucky,Ole Miss,3,Directed
Louisiana,Florida Atlantic,3,Directed
Louisiana–Lafayette,Kansas State,3,Directed
Louisiana–Lafayette,Louisiana Tech,3,Directed
Louisiana–Monroe,Louisiana,3,Directed
Louisiana–Monroe,Texas A&M,3,Directed
Louisiana–Monroe,Troy,3,Directed
Louisiana Tech,Fresno State,3,Directed
Louisiana Tech,Kansas,3,Directed
Louisiana Tech,Kansas State,3,Directed
Louisiana Tech,Texas A&M,3,Directed
Maine,UMass,3,Directed
Marshall,Middle Tennessee,3,Directed
Marshall,Ohio,3,Directed
Marshall,West Virginia,3,Directed
Maryland,Clemson,3,Directed
Maryland,Georgia Tech,3,Directed
Maryland,NC State,3,Directed
Maryland,Virginia,3,Directed
Maryland,West Virginia,3,Directed
Memphis,Cincinnati,3,Directed
Memphis,East Carolina,3,Directed
Memphis,SMU,3,Directed
Memphis,Tulsa,3,Directed
Miami (OH),Western Michigan,3,Directed
Michigan State, Notre Dame,3,Directed
Middle Tennessee,Marshall,3,Directed
Minnesota,Illinois,3,Directed
Minnesota,Michigan State,3,Directed
Minnesota,Nebraska,3,Directed
Minnesota,Northwestern,3,Directed
Mississippi State,Ole Miss,3,Directed
Missouri, Georgia,3,Directed
Missouri, Oklahoma State,3,Directed
Missouri, Texas,3,Directed
Missouri,Colorado,3,Directed
Missouri,Nebraska,3,Directed
Missouri State,Arkansas,3,Directed
NC State, Georgia Tech,3,Directed
NC State,Maryland,3,Directed
Nebraska,Kansas State,3,Directed
Nebraska,Northwestern,3,Directed
